,ra,dec,plx,pmra,pmdec,g_mag,bp_mag,rp_mag,label,g_rp,bp_g,bp_rp
71066,5.438,0.581,14.456,-63.8,17.4,19.153,19.621,18.469,1,0.6839999999999975,0.4679999999999999,1.1519999999999977
11807,1.836,-0.388,15.444,-48.3,51.3,16.749,16.779,16.674,0,0.0749999999999992,0.0300000000000011,0.1050000000000004
22898,2.695,-1.107,15.82,-251.5,53.3,18.932,19.483,18.302,0,0.629999999999999,0.5510000000000019,1.181000000000001
52221,3.823,0.815,19.298,90.4,48.7,19.016,19.57,18.288,1,0.727999999999998,0.554000000000002,1.282
37751,4.676,-1.131,16.405,-272.1,-433.5,19.141,19.599,18.431,1,0.7099999999999973,0.4580000000000019,1.1679999999999993
19437,2.639,-0.078,10.958,-190.3,75.3,18.574,18.781,18.187,0,0.3870000000000004,0.2069999999999972,0.5939999999999976
63151,1.497,-0.355,22.757,246.5,-612.0,18.794,19.292,18.07,1,0.7240000000000002,0.4980000000000011,1.2220000000000013
27260,4.961,-0.72,22.267,-30.1,-206.5,18.076,18.492,17.481,0,0.5949999999999989,0.4160000000000003,1.0109999999999992
78127,4.303,0.678,21.183,-710.3,-214.7,19.749,20.421,19.131,2,0.6179999999999986,0.6720000000000006,1.2899999999999991
59884,2.459,0.682,14.789,-92.5,-102.6,19.252,19.723,18.623,1,0.6289999999999978,0.4710000000000001,1.099999999999998
105336,1.536,0.468,14.577,221.2,-404.9,19.822,20.644,19.047,2,0.7749999999999986,0.8219999999999992,1.5969999999999978
67626,4.864,0.64,29.327,119.5,406.7,19.774,20.829,18.756,1,1.018000000000001,1.0549999999999995,2.0730000000000004
29051,4.039,0.567,18.372,-1.8,-21.4,18.369,18.738,17.771,0,0.597999999999999,0.3689999999999998,0.9669999999999987
102740,2.7,1.05,11.407,-547.6,-722.7,19.068,19.449,18.551,2,0.517000000000003,0.3810000000000002,0.8980000000000032
8989,0.534,-0.738,13.484,101.0,-30.2,18.739,19.078,18.251,0,0.4879999999999995,0.3389999999999986,0.8269999999999982
99293,1.375,-0.619,17.866,-62.4,-1285.8,18.807,19.305,18.149,2,0.6579999999999977,0.4980000000000011,1.1559999999999988
68764,0.468,0.153,12.733,322.8,-26.3,19.445,19.915,18.665,1,0.7800000000000011,0.4699999999999988,1.25
103177,5.678,0.307,14.182,219.2,-334.8,19.402,20.029,18.678,2,0.7240000000000002,0.6269999999999989,1.350999999999999
